,Aschner,Tran
10,2.206,2.269
20,2.399,2.519
30,2.58,2.764
40,2.775,2.992
50,2.949,3.213
60,3.085,3.339
70,3.204,3.51
80,3.25,3.43
90,3.341,3.316
100,3.353,3.103
