,Aschner,Tran
10,2.188,2.252
20,2.369,2.500
30,2.542,2.723
40,2.733,2.978
50,2.898,3.187
60,3.083,3.369
70,3.195,3.480
80,3.212,3.453
90,3.258,3.333
100,3.284,3.189
